date,status
2021-06-14,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06142021\2011-407-CSM.xls
2021-06-14,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06142021\2011-T064-CSM.xls
2021-06-14,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06142021\2011-T071-CSM.xls
2021-06-14,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06142021\2028-T197-CSF.xls
2021-06-14,Successfully completed all files
2021-06-15,Started
2021-06-15,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06152021\2009-T029-CSM.xls
2021-06-15,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06152021\2009-T042-CSM.xls
2021-06-15,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06152021\2017-362-CSF.xls
2021-06-15,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06152021\2017-363-CSF.xls
2021-06-15,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06152021\2033-105-FED.xls
2021-06-15,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06152021\2110-T008-FED.xls
2021-06-15,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06152021\2110-T009-FED.xls
